LeagueYear,league_id,weekNum,roster_id,lookupID,starter,starter_points,array_index,label
2021,6.44097E+17,1,1,6.44097E+18,3294,27.42,1,"Dak Prescott, QB (DAL)"
2021,6.44097E+17,1,1,6.44097E+18,4199,4.2,2,"Aaron Jones, RB (MIN)"
2021,6.44097E+17,1,1,6.44097E+18,6955,7.4,3,
2021,6.44097E+17,1,1,6.44097E+18,1992,9.5,4,
2021,6.44097E+17,1,1,6.44097E+18,5859,14.9,5,"A.J. Brown, WR (PHI)"
2021,6.44097E+17,1,1,6.44097E+18,1352,12.4,6,
2021,6.44097E+17,1,1,6.44097E+18,4144,8.8,7,"Jonnu Smith, TE (PIT)"
2021,6.44097E+17,1,1,6.44097E+18,2374,26,8,"Tyler Lockett, WR (TEN)"
2021,6.44097E+17,1,1,6.44097E+18,7526,16.1,9,"Jaylen Waddle, WR (MIA)"
2021,6.44097E+17,1,1,6.44097E+18,5119,6,10,"Jason Sanders, K (MIA)"
2021,6.44097E+17,1,1,6.44097E+18,BAL,4,11,"Baltimore Ravens, DEF (BAL)"
2021,6.44097E+17,10,1,6.44097E+18,3294,26.34,1,"Dak Prescott, QB (DAL)"
2021,6.44097E+17,10,1,6.44097E+18,4199,12.6,2,"Aaron Jones, RB (MIN)"
2021,6.44097E+17,10,1,6.44097E+18,6955,18.4,3,
2021,6.44097E+17,10,1,6.44097E+18,5859,3.3,4,"A.J. Brown, WR (PHI)"
2021,6.44097E+17,10,1,6.44097E+18,1352,0,5,
2021,6.44097E+17,10,1,6.44097E+18,1144,3.5,6,
2021,6.44097E+17,10,1,6.44097E+18,5001,2.4,7,"Dalton Schultz, TE (HOU)"
2021,6.44097E+17,10,1,6.44097E+18,7526,10.1,8,"Jaylen Waddle, WR (MIA)"
2021,6.44097E+17,10,1,6.44097E+18,4036,11.3,9,
2021,6.44097E+17,10,1,6.44097E+18,5119,10,10,"Jason Sanders, K (MIA)"
2021,6.44097E+17,10,1,6.44097E+18,BAL,7,11,"Baltimore Ravens, DEF (BAL)"
2021,6.44097E+17,11,1,6.44097E+18,3294,2.64,1,"Dak Prescott, QB (DAL)"
2021,6.44097E+17,11,1,6.44097E+18,4199,0,2,"Aaron Jones, RB (MIN)"
2021,6.44097E+17,11,1,6.44097E+18,6955,11.8,3,
2021,6.44097E+17,11,1,6.44097E+18,5859,9.8,4,"A.J. Brown, WR (PHI)"
2021,6.44097E+17,11,1,6.44097E+18,1352,0,5,
2021,6.44097E+17,11,1,6.44097E+18,1144,6.3,6,
2021,6.44097E+17,11,1,6.44097E+18,5001,11.3,7,"Dalton Schultz, TE (HOU)"
2021,6.44097E+17,11,1,6.44097E+18,7526,20.6,8,"Jaylen Waddle, WR (MIA)"
2021,6.44097E+17,11,1,6.44097E+18,4036,6.5,9,
2021,6.44097E+17,11,1,6.44097E+18,5119,5,10,"Jason Sanders, K (MIA)"
2021,6.44097E+17,11,1,6.44097E+18,BAL,10,11,"Baltimore Ravens, DEF (BAL)"
2021,6.44097E+17,12,1,6.44097E+18,3294,25.3,1,"Dak Prescott, QB (DAL)"
2021,6.44097E+17,12,1,6.44097E+18,4199,2.3,2,"Aaron Jones, RB (MIN)"
2021,6.44097E+17,12,1,6.44097E+18,6955,11.5,3,
2021,6.44097E+17,12,1,6.44097E+18,5859,0,4,"A.J. Brown, WR (PHI)"
2021,6.44097E+17,12,1,6.44097E+18,1352,0,5,
2021,6.44097E+17,12,1,6.44097E+18,1144,9.6,6,
2021,6.44097E+17,12,1,6.44097E+18,5001,15.6,7,"Dalton Schultz, TE (HOU)"
2021,6.44097E+17,12,1,6.44097E+18,7526,28.7,8,"Jaylen Waddle, WR (MIA)"
2021,6.44097E+17,12,1,6.44097E+18,4036,0,9,
2021,6.44097E+17,12,1,6.44097E+18,5119,9,10,"Jason Sanders, K (MIA)"
2021,6.44097E+17,12,1,6.44097E+18,BAL,12,11,"Baltimore Ravens, DEF (BAL)"
2021,6.44097E+17,13,1,6.44097E+18,3294,12.22,1,"Dak Prescott, QB (DAL)"
2021,6.44097E+17,13,1,6.44097E+18,2168,20.7,2,
2021,6.44097E+17,13,1,6.44097E+18,6955,1.5,3,
2021,6.44097E+17,13,1,6.44097E+18,5955,19.2,4,"Hunter Renfrow, WR (CAR)"
2021,6.44097E+17,13,1,6.44097E+18,1352,0,5,
2021,6.44097E+17,13,1,6.44097E+18,1144,2.1,6,
2021,6.44097E+17,13,1,6.44097E+18,5001,9.3,7,"Dalton Schultz, TE (HOU)"
2021,6.44097E+17,13,1,6.44097E+18,7526,18,8,"Jaylen Waddle, WR (MIA)"
2021,6.44097E+17,13,1,6.44097E+18,4036,3.5,9,
2021,6.44097E+17,13,1,6.44097E+18,5119,9,10,"Jason Sanders, K (MIA)"
2021,6.44097E+17,13,1,6.44097E+18,BAL,2,11,"Baltimore Ravens, DEF (BAL)"
2021,6.44097E+17,14,1,6.44097E+18,3294,10.94,1,"Dak Prescott, QB (DAL)"
2021,6.44097E+17,14,1,6.44097E+18,4199,21.5,2,"Aaron Jones, RB (MIN)"
2021,6.44097E+17,14,1,6.44097E+18,6955,0.4,3,
2021,6.44097E+17,14,1,6.44097E+18,5955,27.7,4,"Hunter Renfrow, WR (CAR)"
2021,6.44097E+17,14,1,6.44097E+18,1352,0,5,
2021,6.44097E+17,14,1,6.44097E+18,1144,15.4,6,
2021,6.44097E+17,14,1,6.44097E+18,5001,1.4,7,"Dalton Schultz, TE (HOU)"
2021,6.44097E+17,14,1,6.44097E+18,2374,27.2,8,"Tyler Lockett, WR (TEN)"
2021,6.44097E+17,14,1,6.44097E+18,2168,12.2,9,
